name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2023-07-07,12.3,5.9,8.7,12.3,5.1,8.4,6.1,84.7,0,0,0,,0,0,22.7,15.8,160.3,1016.3,85.1,7,84,7.3,4,10,2023-07-07T07:46:47,2023-07-07T17:48:48,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-08,17.3,2,8.9,17.3,2,8.7,5.3,81.7,0,0,0,,0,0,22.3,18.1,168.3,1019.7,47.5,6.7,136.1,11.7,6,10,2023-07-08T07:46:35,2023-07-08T17:49:18,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-09,14.4,6.9,10.2,14.4,6,10.1,7.9,86.5,0.1,100,4.17,rain,0,0,13,9.4,113,1019.6,69,5.9,76.6,6.6,3,10,2023-07-09T07:46:22,2023-07-09T17:49:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-10,19,1.3,8.9,19,-0.2,8.6,5.2,81.9,0,0,0,,0,0,20.5,18.4,173.8,1014.2,18.8,5.2,145.3,12.6,6,10,2023-07-10T07:46:07,2023-07-10T17:50:22,0.75,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-11,12,4.5,9.2,12,4.5,8.4,7.4,89.5,15.8,100,83.33,rain,0,0,31.3,27.7,0.8,1015.2,90.5,5.2,82.4,7.2,4,10,2023-07-11T07:45:51,2023-07-11T17:50:56,0.79,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-12,13.7,7.4,10.3,13.7,6.7,9.3,7.4,82.8,19.3,100,70.83,rain,0,0,41.8,22.3,3.8,1023.6,85.6,9.6,52.3,4.5,3,10,2023-07-12T07:45:33,2023-07-12T17:51:29,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-13,17.5,2,9.7,17.5,2,9.5,5.5,78.9,0,0,0,,0,0,19.1,7.6,344.1,1020.1,67.8,6.9,130.6,11.3,5,10,2023-07-13T07:45:14,2023-07-13T17:52:04,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-14,14,5.8,9.6,14,5.8,9.5,5.8,78.7,0,0,0,,0,0,17.6,14.9,160.1,1017.3,91.1,7.6,84.8,7.4,4,10,2023-07-14T07:44:53,2023-07-14T17:52:39,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-15,14,5.2,9.5,14,5.2,9.2,4.1,70.6,0,0,0,,0,0.1,15.5,16.2,170.6,1018.9,76.9,8.4,93.6,8,4,10,2023-07-15T07:44:30,2023-07-15T17:53:14,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-16,19,3,9.3,19,1.7,9,4.3,74.3,0,0,0,,0,0.2,18.4,11.2,155.4,1017.2,28.3,7.1,128.6,11.1,5,10,2023-07-16T07:44:06,2023-07-16T17:53:50,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-17,13.2,2.8,8.1,13.2,2.8,8,4.9,81.4,0,0,0,,0,0.2,19.8,8.3,8,1019.4,62.3,5.6,81.7,7.2,4,10,2023-07-17T07:43:40,2023-07-17T17:54:27,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-18,17,7.6,11.6,17,6.8,11.3,5.7,69.3,0,0,0,,0,0,23,13,349.9,1019.2,95.1,5.8,99.9,8.6,5,10,2023-07-18T07:43:13,2023-07-18T17:55:04,0.03,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-19,18.6,8.9,13.4,18.6,7.8,13.3,4.6,56.2,0,0,0,,0,0,27,19.2,313.7,1016.3,81.3,9.3,85.6,7.5,4,10,2023-07-19T07:42:44,2023-07-19T17:55:42,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-20,18,7,11.9,18,6.2,11.6,6,68.6,0.1,100,4.17,rain,0,0,20.5,18.4,179.9,1013.8,72.9,7.9,107.2,9.3,4,10,2023-07-20T07:42:14,2023-07-20T17:56:20,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-21,14.3,8.3,11.3,14.3,8.3,11.2,8.8,85.7,0.2,100,8.33,rain,0,0,25.2,13.4,169,1014.5,73.4,7.7,52.5,4.5,3,10,2023-07-21T07:41:42,2023-07-21T17:56:58,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-22,11,7.1,9.7,11,6,8.9,8.6,93,28.5,100,95.83,rain,0,0.2,39.2,19.2,145.5,1019.8,91.6,8.6,57.2,4.9,3,10,2023-07-22T07:41:09,2023-07-22T17:57:37,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-23,10,3.8,7.2,10,3.8,6.7,6.1,93.1,0,0,0,,0,0.4,17.3,8.8,338.4,1020.4,80.7,5.9,64.8,5.5,3,10,2023-07-23T07:40:34,2023-07-23T17:58:16,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-24,18,3,9.5,18,0.4,9,5.3,79.5,0,0,0,,0,0.4,22.7,9.4,240.3,1021.7,22.1,7,156.6,13.5,6,10,2023-07-24T07:39:58,2023-07-24T17:58:55,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-25,16.2,5.2,10.2,16.2,3.9,9.9,6.8,81.3,0.1,100,4.17,rain,0,0.2,23.8,20.3,185.3,1021.9,51.8,8.4,146.9,12.5,6,10,2023-07-25T07:39:20,2023-07-25T17:59:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-26,15.8,6.3,10.2,15.8,5.6,10,7.6,85.4,0,0,0,,0,0,22.3,15.4,166.6,1019.2,78.1,5.7,134.5,11.6,5,10,2023-07-26T07:38:41,2023-07-26T18:00:15,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-27,19,4.6,10.7,19,3.2,10.3,5.6,74.9,0,0,0,,0,0,17.3,13,169.8,1020.1,22.1,6.2,165.2,14.3,6,10,2023-07-27T07:38:00,2023-07-27T18:00:55,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-28,23,4.3,13,23,2.7,12.8,5,63.6,0,0,0,,0,0,16.9,11.2,82.4,1019.3,57.6,7.2,130.1,11.3,5,10,2023-07-28T07:37:18,2023-07-28T18:01:36,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
